IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
183.148.91.187,18-01-21 20:15,7.166,浙江台州,HTTP,33678
110.250.1.61,18-01-22 01:50,0.503,河北唐山,HTTPS,8118
113.106.49.7,18-01-22 01:33,1.073,广东深圳,HTTPS,80
171.39.45.20,18-01-22 01:33,2.658,广西百色,HTTPS,8123
171.39.28.88,18-01-22 01:33,0.276,广西百色,HTTP,8123
123.149.163.27,18-01-22 01:22,0.978,河南洛阳,HTTPS,43424
183.148.88.26,18-01-21 20:11,0.553,浙江台州,HTTPS,20303
223.241.79.238,18-01-21 20:11,5.763,安徽芜湖,HTTPS,8010
49.72.35.78,18-01-21 20:11,2.079,江苏苏州,HTTPS,25457
171.39.1.190,18-01-21 20:00,5.819,广西百色,HTTPS,8123
223.241.118.103,18-01-21 20:00,5.201,安徽,HTTP,8010
117.95.199.70,18-01-21 19:55,0.55,江苏宿迁,HTTPS,20847
121.31.158.242,18-01-21 19:45,2.27,广西北海,HTTP,8123
42.52.187.91,18-01-21 19:45,3.161,辽宁,HTTP,80
IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
123.149.163.27,18-01-22 01:22,0.978,河南洛阳,HTTPS,43424
182.88.253.138,18-01-22 01:22,7.531,广西南宁,HTTP,8123
39.71.160.118,18-01-22 01:22,6.529,山东,HTTPS,8118
101.65.128.72,18-01-22 01:18,1.217,浙江温州,HTTP,8118
110.73.11.157,18-01-22 01:12,4.368,广西防城港,HTTP,8123
110.73.3.225,18-01-22 01:11,7.813,广西防城港,HTTP,8123
115.46.67.233,18-01-22 01:00,6.206,广西南宁,HTTPS,8123
110.73.7.236,18-01-22 01:00,0.297,广西防城港,HTTP,8123
182.88.163.161,18-01-22 00:55,7.232,广西南宁,HTTPS,8123
27.40.154.17,18-01-22 00:48,1.452,广东湛江,HTTPS,61234
123.163.167.228,18-01-22 00:45,0.259,河南三门峡,HTTP,808
171.39.42.232,18-01-22 00:45,7.343,广西百色,HTTP,8123
119.136.89.58,18-01-22 00:30,0.641,广东深圳,HTTP,808
121.31.100.156,18-01-22 00:30,5.325,广西防城港,HTTP,8123
220.166.242.57,18-01-22 00:22,3.499,四川成都,HTTP,8118
61.174.226.35,18-01-22 00:22,0.208,浙江绍兴,HTTPS,808
110.73.33.129,18-01-22 00:22,0.311,广西防城港,HTTP,8123
14.20.183.195,18-01-22 00:15,1.169,广东深圳,HTTP,8118
171.39.29.225,18-01-22 00:11,7.184,广西百色,HTTPS,8123
118.254.151.1,18-01-22 00:11,0.235,湖南衡阳,HTTPS,3128
123.113.86.241,18-01-22 00:10,7.071,北京,HTTP,8118
49.81.255.101,18-01-22 00:00,0.428,江苏徐州,HTTPS,8118
123.169.39.155,18-01-21 23:55,0.957,山东烟台,HTTPS,32995
113.128.29.26,18-01-21 23:55,2.024,山东济南,HTTPS,23827
218.66.148.165,18-01-21 23:55,2.863,福建厦门,HTTPS,25371
139.198.191.105,18-01-21 23:55,0.123,长城宽带,HTTP,8888
115.203.195.114,18-01-21 23:44,4.005,浙江台州,HTTPS,40325
122.4.28.241,18-01-21 23:33,1.209,山东济南,HTTPS,37919
180.155.130.133,18-01-21 23:33,0.13,上海,HTTPS,42830
116.8.80.197,18-01-22 07:30,0.299,广西,HTTPS,8118
110.88.127.17,18-01-21 23:33,1.719,福建福州,HTTPS,36741
49.87.147.198,18-01-21 23:33,0.633,江苏淮安,HTTPS,39889
27.193.4.54,18-01-21 23:31,3.083,山东青岛,HTTP,8118
